,id,category,path,scientific_name,family,genus,species,parent_folder,child_folder
89,00089__001,89,000/89/00089__001.jpg,Acer spicatum Lam.,Sapindaceae,Acer,spicatum,000,89
90,00090__001,90,000/90/00090__001.jpg,Achetaria azurea (Linden) V.C.Souza,Plantaginaceae,Achetaria,azurea,000,90
91,00091__001,91,000/91/00091__001.jpg,Achillea alpina L.,Asteraceae,Achillea,alpina,000,91
92,00092__001,92,000/92/00092__001.jpg,Achillea millefolium L.,Asteraceae,Achillea,millefolium,000,92
93,00093__002,93,000/93/00093__002.jpg,Achlys californica Fukuda & H.Baker,Berberidaceae,Achlys,californica,000,93
94,00094__002,94,000/94/00094__002.jpg,Achlys triphylla DC.,Berberidaceae,Achlys,triphylla,000,94
95,00095__001,95,000/95/00095__001.jpg,Achyrachaena mollis Schauer,Asteraceae,Achyrachaena,mollis,000,95
96,00096__003,96,000/96/00096__003.jpg,Achyranthes aspera L.,Amaranthaceae,Achyranthes,aspera,000,96
97,00097__001,97,000/97/00097__001.jpg,Achyronychia cooperi A.Gray,Caryophyllaceae,Achyronychia,cooperi,000,97
98,00098__001,98,000/98/00098__001.jpg,Acianthera appendiculata (Cogn.) A.Doucette,Orchidaceae,Acianthera,appendiculata,000,98
99,00099__001,99,000/99/00099__001.jpg,Acianthera circumplexa (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,circumplexa,000,99
100,00100__001,100,001/00/00100__001.jpg,Acianthera wilsonii (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,wilsonii,001,00
101,00101__001,101,001/01/00101__001.jpg,Acicarpha tribuloides Juss.,Calyceraceae,Acicarpha,tribuloides,001,01
102,00102__001,102,001/02/00102__001.jpg,Acleisanthes acutifolia Standl.,Nyctaginaceae,Acleisanthes,acutifolia,001,02
103,00104__001,104,001/04/00104__001.jpg,Acleisanthes chenopodioides (A.Gray) R.A.Levin,Nyctaginaceae,Acleisanthes,chenopodioides,001,04
104,00105__001,105,001/05/00105__001.jpg,Acleisanthes crassifolia A.Gray,Nyctaginaceae,Acleisanthes,crassifolia,001,05
105,00106__002,106,001/06/00106__002.jpg,Acleisanthes longiflora A.Gray,Nyctaginaceae,Acleisanthes,longiflora,001,06
106,00107__001,107,001/07/00107__001.jpg,Acleisanthes obtusa (Choisy) Standl.,Nyctaginaceae,Acleisanthes,obtusa,001,07
107,00108__001,108,001/08/00108__001.jpg,Acleisanthes wrightii (A.Gray) Benth. & Hook.f. ex Hemsl.,Nyctaginaceae,Acleisanthes,wrightii,001,08
108,00109__001,109,001/09/00109__001.jpg,Acmella decumbens (Sm.) R.K.Jansen,Asteraceae,Acmella,decumbens,001,09
109,00110__001,110,001/10/00110__001.jpg,Acmella iodiscaea (A.H.Moore) R.K.Jansen,Asteraceae,Acmella,iodiscaea,001,10
110,00111__001,111,001/11/00111__001.jpg,Acmella pilosa R.K.Jansen,Asteraceae,Acmella,pilosa,001,11
111,00112__001,112,001/12/00112__001.jpg,Acmella pusilla (Hook. & Arn.) R.K.Jansen,Asteraceae,Acmella,pusilla,001,12
112,00113__001,113,001/13/00113__001.jpg,Acmella repens (Walter) Rich.,Asteraceae,Acmella,repens,001,13
113,00114__003,114,001/14/00114__003.jpg,Acmella uliginosa (Sw.) Cass.,Asteraceae,Acmella,uliginosa,001,14
114,00115__002,115,001/15/00115__002.jpg,Acmispon americanus (Nutt.) Rydb.,Fabaceae,Acmispon,americanus,001,15
115,00116__001,116,001/16/00116__001.jpg,Acmispon brachycarpus (Benth.) D.D.Sokoloff,Fabaceae,Acmispon,brachycarpus,001,16
116,00117__002,117,001/17/00117__002.jpg,Acmispon glaber (Vogel) Brouillet,Fabaceae,Acmispon,glaber,001,17
117,00118__001,118,001/18/00118__001.jpg,Acmispon maritimus (Nutt.) D.D.Sokoloff,Fabaceae,Acmispon,maritimus,001,18
118,00119__001,119,001/19/00119__001.jpg,Acmispon micranthus (Nutt. ex Torr. & A.Gray) Brouillet,Fabaceae,Acmispon,micranthus,001,19
119,00120__001,120,001/20/00120__001.jpg,Acmispon oroboides (Kunth) Brouillet,Fabaceae,Acmispon,oroboides,001,20
120,00121__001,121,001/21/00121__001.jpg,Acmispon plebeius (Brandegee) Allred,Fabaceae,Acmispon,plebeius,001,21
121,00122__001,122,001/22/00122__001.jpg,Acmispon prostratus (Nutt.) Brouillet,Fabaceae,Acmispon,prostratus,001,22
122,00123__001,123,001/23/00123__001.jpg,Acmispon subpinnatus (Lag.) D.D.Sokoloff,Fabaceae,Acmispon,subpinnatus,001,23
123,00124__001,124,001/24/00124__001.jpg,Acoelorraphe wrightii (Griseb. & H.Wendl.) H.Wendl. ex Becc.,Arecaceae,Acoelorraphe,wrightii,001,24
124,00125__003,125,001/25/00125__003.jpg,Aconitum columbianum Nutt.,Ranunculaceae,Aconitum,columbianum,001,25
125,00126__002,126,001/26/00126__002.jpg,Aconitum delphiniifolium DC.,Ranunculaceae,Aconitum,delphiniifolium,001,26
126,00127__003,127,001/27/00127__003.jpg,Aconitum maximum Pall. ex DC.,Ranunculaceae,Aconitum,maximum,001,27
127,00128__001,128,001/28/00128__001.jpg,Aconitum reclinatum A.Gray,Ranunculaceae,Aconitum,reclinatum,001,28
128,00129__001,129,001/29/00129__001.jpg,Aconitum uncinatum L.,Ranunculaceae,Aconitum,uncinatum,001,29
129,00130__001,130,001/30/00130__001.jpg,Acorus calamus L.,Acoraceae,Acorus,calamus,001,30
130,00131__001,131,001/31/00131__001.jpg,Acourtia microcephala DC.,Asteraceae,Acourtia,microcephala,001,31
131,00132__001,132,001/32/00132__001.jpg,Acourtia nana (A.Gray) Reveal & R.M.King,Asteraceae,Acourtia,nana,001,32
132,00133__001,133,001/33/00133__001.jpg,Acourtia runcinata (D.Don) B.L.Turner,Asteraceae,Acourtia,runcinata,001,33
133,00134__002,134,001/34/00134__002.jpg,Acourtia thurberi (A.Gray) Reveal & R.M.King,Asteraceae,Acourtia,thurberi,001,34
134,00135__001,135,001/35/00135__001.jpg,Acourtia wrightii (A.Gray) Reveal & R.M.King,Asteraceae,Acourtia,wrightii,001,35
135,00136__001,136,001/36/00136__001.jpg,Acrocomia aculeata (Jacq.) Lodd. ex R.Keith,Arecaceae,Acrocomia,aculeata,001,36
136,00137__001,137,001/37/00137__001.jpg,Acrocomia crispa (Kunth) C.F.Baker ex Becc.,Arecaceae,Acrocomia,crispa,001,37
137,00138__002,138,001/38/00138__002.jpg,Acrostichum aureum L.,Pteridaceae,Acrostichum,aureum,001,38
138,00139__001,139,001/39/00139__001.jpg,Acrostichum danaeifolium Langsd. & Fisch.,Pteridaceae,Acrostichum,danaeifolium,001,39
139,00140__001,140,001/40/00140__001.jpg,Actaea arizonica (S.Watson) J.Compton,Ranunculaceae,Actaea,arizonica,001,40
140,00141__001,141,001/41/00141__001.jpg,Actaea elata (Nutt.) Prantl,Ranunculaceae,Actaea,elata,001,41
141,00142__001,142,001/42/00142__001.jpg,Actaea laciniata (S.Watson) J.Compton,Ranunculaceae,Actaea,laciniata,001,42
142,00143__001,143,001/43/00143__001.jpg,Actaea pachypoda Elliott,Ranunculaceae,Actaea,pachypoda,001,43
143,00144__001,144,001/44/00144__001.jpg,Actaea podocarpa DC.,Ranunculaceae,Actaea,podocarpa,001,44
144,00145__001,145,001/45/00145__001.jpg,Actaea racemosa L.,Ranunculaceae,Actaea,racemosa,001,45
145,00146__001,146,001/46/00146__001.jpg,Actaea rubifolia (Kearney) Kartesz,Ranunculaceae,Actaea,rubifolia,001,46
146,00147__001,147,001/47/00147__001.jpg,Actaea rubra (Aiton) Willd.,Ranunculaceae,Actaea,rubra,001,47
147,00148__002,148,001/48/00148__002.jpg,Actinostachys pennula (Sw.) Hook.,Schizaeaceae,Actinostachys,pennula,001,48
148,00149__002,149,001/49/00149__002.jpg,Adelia vaseyi (J.M.Coult.) Pax & K.Hoffm.,Euphorbiaceae,Adelia,vaseyi,001,49
149,00150__001,150,001/50/00150__001.jpg,Adelonema picturatum (Linden & André) S.Y.Wong & Croat,Araceae,Adelonema,picturatum,001,50
150,00151__001,151,001/51/00151__001.jpg,Adenocalymma marginatum (Cham.) DC.,Bignoniaceae,Adenocalymma,marginatum,001,51
151,00152__001,152,001/52/00152__001.jpg,Adenocaulon bicolor Hook.,Asteraceae,Adenocaulon,bicolor,001,52
152,00153__001,153,001/53/00153__001.jpg,Adenophyllum cooperi (A.Gray) Strother,Asteraceae,Adenophyllum,cooperi,001,53
153,00154__001,154,001/54/00154__001.jpg,Adenophyllum porophylloides (A.Gray) Strother,Asteraceae,Adenophyllum,porophylloides,001,54
154,00155__001,155,001/55/00155__001.jpg,Adenophyllum wrightii A.Gray,Asteraceae,Adenophyllum,wrightii,001,55
155,00156__001,156,001/56/00156__001.jpg,Adenostemma verbesina Kuntze,Asteraceae,Adenostemma,verbesina,001,56
156,00157__001,157,001/57/00157__001.jpg,Adenostoma fasciculatum Hook. & Arn.,Rosaceae,Adenostoma,fasciculatum,001,57
157,00158__001,158,001/58/00158__001.jpg,Adenostoma sparsifolium Torr.,Rosaceae,Adenostoma,sparsifolium,001,58
158,00159__001,159,001/59/00159__001.jpg,Adiantum aleuticum (Rupr.) C.A.Paris,Pteridaceae,Adiantum,aleuticum,001,59
159,00160__001,160,001/60/00160__001.jpg,Adiantum capillus-veneris L.,Pteridaceae,Adiantum,capillus-veneris,001,60
160,00161__001,161,001/61/00161__001.jpg,Adiantum chilense Kaulf.,Pteridaceae,Adiantum,chilense,001,61
161,00162__001,162,001/62/00162__001.jpg,Adiantum concinnum Humb. & Bonpl. ex Willd.,Pteridaceae,Adiantum,concinnum,001,62
162,00163__001,163,001/63/00163__001.jpg,Adiantum fragile Sw.,Pteridaceae,Adiantum,fragile,001,63
163,00164__001,164,001/64/00164__001.jpg,Adiantum hispidulum Sw.,Pteridaceae,Adiantum,hispidulum,001,64
164,00165__001,165,001/65/00165__001.jpg,Adiantum jordanii Müll.Hal.,Pteridaceae,Adiantum,jordanii,001,65
165,00166__002,166,001/66/00166__002.jpg,Adiantum latifolium Lam.,Pteridaceae,Adiantum,latifolium,001,66
166,00167__001,167,001/67/00167__001.jpg,Adiantum macrophyllum Sw.,Pteridaceae,Adiantum,macrophyllum,001,67
167,00168__001,168,001/68/00168__001.jpg,Adiantum melanoleucum Willd.,Pteridaceae,Adiantum,melanoleucum,001,68
168,00169__001,169,001/69/00169__001.jpg,Adiantum obliquum Willd.,Pteridaceae,Adiantum,obliquum,001,69
169,00170__001,170,001/70/00170__001.jpg,Adiantum pedatum L.,Pteridaceae,Adiantum,pedatum,001,70
170,00171__001,171,001/71/00171__001.jpg,Adiantum peruvianum Klotzsch,Pteridaceae,Adiantum,peruvianum,001,71
171,00172__001,172,001/72/00172__001.jpg,Adiantum petiolatum Desv.,Pteridaceae,Adiantum,petiolatum,001,72
172,00173__001,173,001/73/00173__001.jpg,Adiantum pulverulentum L.,Pteridaceae,Adiantum,pulverulentum,001,73
173,00174__002,174,001/74/00174__002.jpg,Adiantum pyramidale (L.) Willd.,Pteridaceae,Adiantum,pyramidale,001,74
174,00175__001,175,001/75/00175__001.jpg,Adiantum raddianum C.Presl,Pteridaceae,Adiantum,raddianum,001,75
175,00176__001,176,001/76/00176__001.jpg,Adiantum tenerum Sw.,Pteridaceae,Adiantum,tenerum,001,76
176,00177__001,177,001/77/00177__001.jpg,Adiantum tricholepis Fée,Pteridaceae,Adiantum,tricholepis,001,77
177,00178__001,178,001/78/00178__001.jpg,Adiantum villosum L.,Pteridaceae,Adiantum,villosum,001,78
178,00179__001,179,001/79/00179__001.jpg,Adiantum wilsonii Hook.,Pteridaceae,Adiantum,wilsonii,001,79
179,00180__001,180,001/80/00180__001.jpg,"Adlumia fungosa (Aiton) Britton, Sterns & Poggenb.",Papaveraceae,Adlumia,fungosa,001,80
180,00181__001,181,001/81/00181__001.jpg,Adolphia californica S.Watson,Rhamnaceae,Adolphia,californica,001,81
181,00182__001,182,001/82/00182__001.jpg,Adolphia infesta (Kunth) Meisn.,Rhamnaceae,Adolphia,infesta,001,82
182,00183__001,183,001/83/00183__001.jpg,Adoxa moschatellina L.,Viburnaceae,Adoxa,moschatellina,001,83
183,00184__002,184,001/84/00184__002.jpg,Aechmea angustifolia Poepp. & Endl.,Bromeliaceae,Aechmea,angustifolia,001,84
184,00185__001,185,001/85/00185__001.jpg,Aechmea bromeliifolia (Rudge) Baker ex Benth. & Hook.f.,Bromeliaceae,Aechmea,bromeliifolia,001,85
185,00186__001,186,001/86/00186__001.jpg,Aechmea distichantha Lem.,Bromeliaceae,Aechmea,distichantha,001,86
186,00187__002,187,001/87/00187__002.jpg,Aechmea fasciata (Lindl.) Baker,Bromeliaceae,Aechmea,fasciata,001,87
187,00188__002,188,001/88/00188__002.jpg,Aechmea nudicaulis (L.) Griseb.,Bromeliaceae,Aechmea,nudicaulis,001,88
188,00189__001,189,001/89/00189__001.jpg,Aegiphila elata Sw.,Lamiaceae,Aegiphila,elata,001,89
189,00190__001,190,001/90/00190__001.jpg,Aegiphila integrifolia (Jacq.) B.D.Jacks.,Lamiaceae,Aegiphila,integrifolia,001,90
190,00191__001,191,001/91/00191__001.jpg,Aegiphila martinicensis Jacq.,Lamiaceae,Aegiphila,martinicensis,001,91
191,00192__001,192,001/92/00192__001.jpg,Aeschynomene americana L.,Fabaceae,Aeschynomene,americana,001,92
192,00193__001,193,001/93/00193__001.jpg,Aeschynomene evenia C.Wright,Fabaceae,Aeschynomene,evenia,001,93
193,00194__002,194,001/94/00194__002.jpg,Aeschynomene histrix var. multijuga (Chodat & Hassl.) Rudd,Fabaceae,Aeschynomene,histrix,001,94
194,00195__001,195,001/95/00195__001.jpg,Aeschynomene indica L.,Fabaceae,Aeschynomene,indica,001,95
195,00196__001,196,001/96/00196__001.jpg,Aeschynomene pratensis Small,Fabaceae,Aeschynomene,pratensis,001,96
196,00197__001,197,001/97/00197__001.jpg,Aeschynomene rudis Benth.,Fabaceae,Aeschynomene,rudis,001,97
197,00198__001,198,001/98/00198__001.jpg,Aeschynomene villosa Poir.,Fabaceae,Aeschynomene,villosa,001,98
198,00199__002,199,001/99/00199__002.jpg,"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",Fabaceae,Aeschynomene,virginica,001,99
199,00200__002,200,002/00/00200__002.jpg,Aeschynomene viscidula Michx.,Fabaceae,Aeschynomene,viscidula,002,00
200,00201__001,201,002/01/00201__001.jpg,Aesculus californica (Spach) Nutt.,Sapindaceae,Aesculus,californica,002,01
201,00202__002,202,002/02/00202__002.jpg,Aesculus flava Sol.,Sapindaceae,Aesculus,flava,002,02
202,00203__001,203,002/03/00203__001.jpg,Aesculus glabra Willd.,Sapindaceae,Aesculus,glabra,002,03
203,00204__001,204,002/04/00204__001.jpg,Aesculus parviflora Walter,Sapindaceae,Aesculus,parviflora,002,04
204,00205__002,205,002/05/00205__002.jpg,Aesculus pavia L.,Sapindaceae,Aesculus,pavia,002,05
205,00206__001,206,002/06/00206__001.jpg,Aesculus sylvatica W.Bartram,Sapindaceae,Aesculus,sylvatica,002,06
206,00207__001,207,002/07/00207__001.jpg,Agalinis aphylla (Nutt.) Raf.,Orobanchaceae,Agalinis,aphylla,002,07
207,00208__001,208,002/08/00208__001.jpg,Agalinis aspera (Douglas ex Benth.) Britton,Orobanchaceae,Agalinis,aspera,002,08
208,00209__001,209,002/09/00209__001.jpg,Agalinis auriculata (Michx.) S.F.Blake,Orobanchaceae,Agalinis,auriculata,002,09
209,00210__001,210,002/10/00210__001.jpg,Agalinis decemloba (Greene) Pennell,Orobanchaceae,Agalinis,decemloba,002,10
210,00211__001,211,002/11/00211__001.jpg,Agalinis densiflora (Benth.) S.F.Blake,Orobanchaceae,Agalinis,densiflora,002,11
211,00212__001,212,002/12/00212__001.jpg,Agalinis divaricata (Chapm.) Pennell,Orobanchaceae,Agalinis,divaricata,002,12
212,00213__001,213,002/13/00213__001.jpg,Agalinis edwardsiana Pennell,Orobanchaceae,Agalinis,edwardsiana,002,13
213,00214__001,214,002/14/00214__001.jpg,Agalinis fasciculata (Elliott) Raf.,Orobanchaceae,Agalinis,fasciculata,002,14
214,00215__001,215,002/15/00215__001.jpg,Agalinis filicaulis (Benth.) Pennell,Orobanchaceae,Agalinis,filicaulis,002,15
215,00216__001,216,002/16/00216__001.jpg,Agalinis filifolia (Nutt.) Raf.,Orobanchaceae,Agalinis,filifolia,002,16
